Index	ID	Country	Latitude	Longitude	Age
49	I1525	Russia	66.161126	-169.822297	1695
50	I0726	Turkey	40.26	29.65	7950
51	I1099	Turkey	40.3037	29.57	8300
52	I1100	Turkey	40.3037	29.57	8300
53	I1102	Turkey	40.3037	29.57	8300
54	I1103	Turkey	40.3037	29.57	8300
55	I0725	Turkey	40.26	29.65	7950
56	I14445	Turkey	37.52	41.84	10700
57	I8435_old7	Turkey	37.52	41.84	10700
58	I1926	Ukraine	48.7225	25.880833	5649
59	I5870	Ukraine	47.9543	35.3893	7363
60	I3719	Ukraine	48.91422	33.76493	6831
61	I3716	Ukraine	47.9543	35.3893	7347
62	I5872	Ukraine	47.9543	35.3893	7374
175	Darra.I.Kur_noUDG_d	Afghanistan	36.783333	70	4466
176	I14688	Albania	42.020556	20.388611	2450
177	I14690	Albania	42.020556	20.388611	3000
178	I14692	Albania	42.020556	20.388611	2900
179	I16251	Albania	42.020556	20.388611	2500
180	I16254	Albania	42.020556	20.388611	2450
181	I16256	Albania	42.020556	20.388611	2500
182	I17640	Albania	42.020556	20.388611	2450
183	I17623	Albania	40.285	19.477222	1050
184	I14691	Albania	42.020556	20.388611	3500
185	I14689	Albania	42.020556	20.388611	4505
186	I15705	Albania	40.810556	20.793889	8096
187	I16253	Albania	42.020556	20.388611	2426
188	I13835	Albania	40.625278	20.801111	246
189	I13838	Albania	40.671111	20.984722	6200
190	I13840	Albania	40.671111	20.984722	6102
191	I8471	Albania	42.15	19.29	3745
192	I13839	Albania	40.432222	20.712778	1014
193	I14622	Albania	42.036944	20.397222	1121
194	I14685	Albania	42.12	20.518056	400
195	I15706	Albania	40.998333	19.8325	320
196	I14686	Albania	42.12	20.518056	400
197	I14687	Albania	42.12	20.518056	400
198	I15707	Albania	42.12	20.518056	399
204	AltaiNeanderthal.DG	Russia	51.409	84.689	110450
205	AltaiNeanderthal_snpAD.DG	Russia	51.3975	84.67611111	110450
212	Aconcagua_noUDG.SG	Argentina	-32.65	-70.01	500
213	I7090	Argentina	-38.3605556	-60.2441667	7162
214	I1748	Argentina	-38.3605556	-60.2441667	7162
215	I7088	Argentina	-38.3605556	-60.2441667	7428
216	I0308	Argentina	-38.3605556	-60.2441667	7428
217	I0309	Argentina	-38.3605556	-60.2441667	7652
218	I2230	Argentina	-38.3605556	-60.2441667	8574
219	I2232	Argentina	-38.3605556	-60.2441667	8373
220	I7086	Argentina	-38.3605556	-60.2441667	7758
221	I12941	Argentina	-54.85	-67.57	160
222	I12942	Argentina	-54.87	-67.33	60
223	I12943	Argentina	-54.85	-67.57	180
224	Yaghan890_noUDG.SG	Argentina	-55.01	-69.07	100
225	Yaghan894_noUDG.SG	Argentina	-55.01	-69.07	100
226	Yaghan895_noUDG.SG	Argentina	-55.01	-69.07	100
227	I12355	Argentina	-54.85	-68.52	1490
228	I8351	Argentina	-36.0772222	-62.3472222	1630
229	I8348	Argentina	-36.0772222	-62.3472222	6875
230	I8349	Argentina	-36.0772222	-62.3472222	6715
231	I8350	Argentina	-36.0772222	-62.3472222	7700
232	I12376	Argentina	-38.84	-61.42	2333
233	I12356	Argentina	-54.7	-65.35	280
234	I12357	Argentina	-54.7	-65.35	330
235	I12358	Argentina	-54.7	-65.35	440
236	I12359	Argentina	-54.7	-65.35	590
237	I12360	Argentina	-54.7	-65.35	400
238	I12361	Argentina	-54.6	-65.58	420
239	MA572_noUDG.SG	Argentina	-53.26	-70.45	100
240	MA575_noUDG.SG	Argentina	-53.26	-70.45	100
241	MA577_noUDG.SG	Argentina	-53.26	-70.45	100
242	I12362	Argentina	-53.58	-68.02	5820
243	I12354	Argentina	-53.78	-67.7	450
244	I12363	Argentina	-53.28	-68.47	380
245	I12364	Argentina	-53.82	-67.65	770
246	I12366	Argentina	-53.66	-67.96	100
247	I12367	Argentina	-53.82	-67.65	700
248	I12365	Argentina	-53.82	-67.65	740
249	I16119	Armenia	40.15118	44.44316667	2286
250	I1407	Armenia	39.73	45.2	5875
251	I1409	Armenia	39.73	45.2	6047
252	I1631	Armenia	39.73	45.2	6099
253	I1632	Armenia	39.73	45.2	6076
254	I1634	Armenia	39.73	45.2	6156
255	ARM003	Armenia	40.866667	43.716667	5163
256	I1630	Armenia	38.865	46.199	750
257	I1659	Armenia	38.865	46.199	655
258	I1660	Armenia	38.865	46.199	750
259	I1633	Armenia	40.65	45.1167	4465
260	I1635	Armenia	40.65	45.1167	4476
261	I1658	Armenia	40.382958	43.873663	5162
262	ARM001	Armenia	40.866667	43.716667	5417
263	ARM002	Armenia	40.866667	43.716667	5163
264	I13599	Armenia	40.783	43.95	4337
265	I14339	Armenia	41.03	45.08	4409
266	I14341	Armenia	41.03	45.08	4400
267	I14343_d	Armenia	41.03	45.08	4325
268	I14346	Armenia	40.09	44.28	4450
269	I15132	Armenia	41.03	45.08	4479
270	I16706	Armenia	40.783	43.95	4723
271	I16920	Armenia	41.03	45.08	4400
272	I14340	Armenia	41.03	45.08	4340
273	I17499	Armenia	40.783	43.95	4950
274	I1657	Armenia	40.39075	43.89106667	5123
275	I14812	Armenia	40.783	43.95	4700
276	I16116	Armenia	40.91666	44.5	3050
277	I16117	Armenia	40.91666	44.5	2586
278	I16191	Armenia	40.91666	44.5	2608
279	I16193	Armenia	40.91666	44.5	2625
280	I16195	Armenia	40.91666	44.5	2625
281	I17180	Armenia	40.91666	44.5	2566
282	I17181	Armenia	40.91666	44.5	2599
283	I16553	Armenia	40.91666	44.5	2800
284	I16546	Armenia	40.91666	44.5	2800
285	I16194	Armenia	40.91666	44.5	2625
286	I16219	Armenia	40.91666	44.5	2590
287	I16547	Armenia	40.91666	44.5	2800
288	I19322	Armenia	40.416667	45.2	2600
289	I13947	Armenia	40.91666	44.5	2612
290	I14054	Armenia	40.91666	44.5	2723
291	I14057	Armenia	40.91666	44.5	2599
292	I16536	Armenia	40.91666	44.5	2776
293	I16707	Armenia	40.783	43.95	2823
294	I17184	Armenia	40.8716	43.8445	2614
295	I3938	Armenia	40.15118	44.44316667	3001
296	I3944	Armenia	40.15118	44.44316667	2934
297	I17308	Armenia	40.8716	43.8445	2256
298	I19327	Armenia	40.416667	45.2	2225
299	I1636	Armenia	39.549	45.078	1956
300	I1639	Armenia	39.549	45.078	1872
301	I1637	Armenia	39.549	45.078	1956
302	I13948	Armenia	40.91666	44.5	3128
303	I15732	Armenia	40.91666	44.5	3318
304	I15733	Armenia	40.91666	44.5	3320
305	I15734	Armenia	40.91666	44.5	3325
306	I15749	Armenia	40.91666	44.5	3150
307	I16217	Armenia	40.416667	45.2	3074
308	I16220	Armenia	40.416667	45.2	3216
309	I16537	Armenia	40.91666	44.5	2977
310	I16554	Armenia	40.91666	44.5	3083
311	I17182	Armenia	40.8716	43.8445	2941
312	I18479	Armenia	40.416667	45.2	3150
313	I19329	Armenia	40.416667	45.2	3217
314	I19331	Armenia	40.416667	45.2	3125
315	I19332	Armenia	40.416667	45.2	3125
316	I19333	Armenia	40.416667	45.2	3125
317	I19334	Armenia	40.416667	45.2	3125
318	I19335	Armenia	40.416667	45.2	3285
319	I19336	Armenia	40.416667	45.2	3285
320	I19337	Armenia	40.416667	45.2	3025
321	I19338	Armenia	40.416667	45.2	3066
322	I19339	Armenia	40.416667	45.2	3125
323	I19341	Armenia	40.416667	45.2	3285
324	I19342	Armenia	40.416667	45.2	3125
325	I19343	Armenia	40.416667	45.2	3025
326	I19344	Armenia	40.416667	45.2	3285
327	I19345	Armenia	40.416667	45.2	3125
328	I19346	Armenia	40.416667	45.2	3125
329	I19347	Armenia	40.416667	45.2	3125
330	I19348	Armenia	40.416667	45.2	3285
331	I19349	Armenia	40.416667	45.2	3025
332	I19350	Armenia	40.416667	45.2	3125
333	I19351	Armenia	40.416667	45.2	3285
334	I19352	Armenia	40.416667	45.2	3285
335	I19353	Armenia	40.416667	45.2	2986
336	I19354	Armenia	40.416667	45.2	3052
337	I20439	Armenia	40.29221	45.130679	2911
338	I20440	Armenia	40.29221	45.130679	3135
339	I20441	Armenia	40.29221	45.130679	2793
340	I20443	Armenia	40.29221	45.130679	2896
341	I14051	Armenia	40.91666	44.5	2690
342	I14052	Armenia	40.91666	44.5	2690
343	I14053	Armenia	40.91666	44.5	2690
344	I14055	Armenia	40.91666	44.5	2690
345	I14056	Armenia	40.91666	44.5	2690
346	I14066	Armenia	40.91666	44.5	2875
347	I14588	Armenia	40.91666	44.5	2875
348	I14601	Armenia	40.91666	44.5	2875
349	I14602	Armenia	40.91666	44.5	2875
350	I14603	Armenia	40.91666	44.5	2877
351	I14605	Armenia	40.91666	44.5	2875
352	I14606	Armenia	40.91666	44.5	2875
353	I14618	Armenia	40.91666	44.5	2986
354	I14620	Armenia	40.91666	44.5	2915
355	I15729	Armenia	40.91666	44.5	3150
356	I15748	Armenia	40.91666	44.5	3285
357	I15750	Armenia	40.91666	44.5	3285
358	I16196	Armenia	40.91666	44.5	3125
359	I18162	Armenia	40.833333	43.916667	3125
360	I18163	Armenia	40.833333	43.916667	3125
361	I18165	Armenia	40.833333	43.916667	3125
362	I18166	Armenia	40.516618	44.933321	3285
363	I18167	Armenia	40.516618	44.933321	3285
364	I18168	Armenia	40.516618	44.933321	3285
365	I18248	Armenia	40.833333	43.916667	3125
366	I18467	Armenia	40.416667	45.2	3285
367	I18468	Armenia	40.416667	45.2	3050
368	I18469	Armenia	40.416667	45.2	2865
369	I18470	Armenia	40.416667	45.2	3050
370	I18472	Armenia	40.416667	45.2	3285
371	I18478	Armenia	40.416667	45.2	2750
372	I18481	Armenia	40.416667	45.2	3050
373	I18486	Armenia	40.416667	45.2	3285
374	I18487	Armenia	40.416667	45.2	3390
375	I19321	Armenia	40.416667	45.2	3050
376	I19323	Armenia	40.416667	45.2	3390
377	I19324	Armenia	40.416667	45.2	2865
378	I19325	Armenia	40.416667	45.2	3285
379	I19326	Armenia	40.416667	45.2	3150
380	I19328	Armenia	40.416667	45.2	2809
381	I14065	Armenia	40.91666	44.5	2875
382	I16376	Armenia	40.91666	44.5	2690
383	I14619	Armenia	40.91666	44.5	2875
384	I14621	Armenia	40.91666	44.5	2875
385	I18483	Armenia	40.416667	45.2	3150
386	I15730	Armenia	40.91666	44.5	3285
387	I18164	Armenia	40.833333	43.916667	3125
388	I18247	Armenia	40.833333	43.916667	3125
389	I15663_old	Armenia	40.91666	44.5	3125
390	I16216	Armenia	40.91666	44.5	2875
391	I14617	Armenia	40.91666	44.5	2915
392	I15731	Armenia	40.91666	44.5	3285
393	DA31_noUDG.SG	Armenia	40.52027778	44.93083333	3200
394	DA35_noUDG.SG	Armenia	40.52027778	44.93083333	3259
395	RISE396_noUDG.SG	Armenia	39.2	46.4	3009
396	RISE397_noUDG.SG	Armenia	39.2	46.4	2908
397	RISE407_noUDG.SG	Armenia	40.15	45.86	2935
398	RISE408_noUDG.SG	Armenia	40.15	45.86	3050
399	RISE412_noUDG.SG	Armenia	40.416667	45.2	3018
400	I18267	Armenia	40.516618	44.933321	3285
401	I18269	Armenia	40.516618	44.933321	3285
402	I18270	Armenia	40.516618	44.933321	3285
403	I18271	Armenia	40.516618	44.933321	3285
404	I18272	Armenia	40.516618	44.933321	3285
405	I18274	Armenia	40.516618	44.933321	3150
406	I18275	Armenia	40.516618	44.933321	3285
407	I18276	Armenia	40.516618	44.933321	3285
408	I18277	Armenia	40.516618	44.933321	3285
409	I18278	Armenia	40.516618	44.933321	3285
410	I18279	Armenia	40.516618	44.933321	3285
411	I18280	Armenia	40.516618	44.933321	3285
412	I18273	Armenia	40.516618	44.933321	3285
413	I18159	Armenia	39.434403	46.22504	2565
414	I18160	Armenia	39.434403	46.22504	2565
415	I18161	Armenia	39.434403	46.22504	2565
416	I18236	Armenia	39.434403	46.22504	2565
417	I18237	Armenia	39.434403	46.22504	2565
418	I18238	Armenia	39.434403	46.22504	2565
419	I20436	Armenia	40.29221	45.130679	3024
420	I20444	Armenia	40.29221	45.130679	2622
421	I20438	Armenia	40.29221	45.130679	2023
422	I20437	Armenia	40.29221	45.130679	2022
423	I20442	Armenia	40.29221	45.130679	1669
424	I14813	Armenia	40.783	43.95	3945
425	I1656	Armenia	40.377222	43.938333	3397
426	I17183	Armenia	40.8716	43.8445	3270
427	I19340	Armenia	40.416667	45.2	3285
428	I16120	Armenia	40.91666	44.5	3390
429	RISE413_noUDG.SG	Armenia	40.14	45.26	3764
430	RISE416_noUDG.SG	Armenia	40.14	45.26	3477
431	RISE423_noUDG.SG	Armenia	40.14	45.26	3251
432	I10252	Armenia	40.833333	43.916667	1850
433	I13949	Armenia	40.91666	44.5	2594
434	I11853	Armenia	40.15118	44.44316667	2800
435	I11855	Armenia	40.15118	44.44316667	2806
436	I13031	Armenia	40.15118	44.44316667	2765
437	I13032	Armenia	40.15118	44.44316667	2789
438	I16118	Armenia	40.15118	44.44316667	2595
439	I3892	Armenia	40.15118	44.44316667	2749
440	I3945	Armenia	40.15118	44.44316667	2595
441	I3890	Armenia	40.15118	44.44316667	2700
442	I13035	Armenia	40.15118	44.44316667	2554
514	I5068	Austria	48.663197	16.589687	7088
515	I5069	Austria	48.663197	16.589687	6961
516	I11699	Austria	48.241109	15.701654	2300
517	I11701	Austria	48.241109	15.701654	2300
518	I11708	Austria	48.241109	15.701654	2300
519	I2483_noUDG	Austria	48.41	15.59	30850
520	I2484	Austria	48.41	15.59	30850
521	I2484_noUDG	Austria	48.41	15.59	30850
522	I1577	Austria	48.41	15.59	30950
523	I6913	Austria	48.120396	16.291722	7366
524	I5208	Austria	48.579752	16.46931	7150
525	I6912_noUDG	Austria	48.120396	16.291722	7088
526	I5205	Austria	48.579752	16.46931	7150
527	I5206	Austria	48.579752	16.46931	7150
528	I5207	Austria	48.579752	16.46931	7150
531	ALX002	Azerbaijan 	39.3607139	48.4613556	5660
532	MTT001	Azerbaijan 	40.9418889	45.8327778	7638
533	POT002	Azerbaijan 	39.5186111	48.65	7378
534	I13320	Bahamas	25.87	-77.19	850
535	I14875	Bahamas	26.5	-76.99	1073
536	I14922	Bahamas	26.53	-76.96	1003
537	I14923	Bahamas	26.31	-77.55	603
538	I13318	Bahamas	22.82	-74.29	750
539	I13319	Bahamas	22.83	-74.32	750
540	I13321	Bahamas	24.75	-76.2	750
541	I13736	Bahamas	25.366574	-76.520014	750
542	I14878	Bahamas	25.557	-76.696	795
543	I14920	Bahamas	25.366574	-76.520014	938
544	I14921	Bahamas	25.366574	-76.520014	679
545	PCV001	Bahamas	25.557	-76.696	875
546	PCV003	Bahamas	25.557	-76.696	883
547	PCV004	Bahamas	25.557	-76.696	875
548	PCV002	Bahamas	25.557	-76.696	795
549	I14876	Bahamas	25.551022	-76.71	624
550	I13322	Bahamas	23.1	-74.98	1017
551	I13737	Bahamas	23.1	-74.98	752
552	I13738	Bahamas	23.1	-74.98	611
553	I13739	Bahamas	23.1	-74.98	614
554	I13558	Bahamas	24.1	-77.55	599
555	I14879	Bahamas	24.1	-77.55	651
556	I14880	Bahamas	24.1	-77.55	589
557	I14881	Bahamas	24.1	-77.55	597
558	I14882	Bahamas	24.1	-77.55	635
559	I14883	Bahamas	24.1	-77.55	588
560	I13560	Bahamas	24.1	-77.55	663
561	PC537_noUDG.SG	Bahamas	25.557109	-76.695171	993
562	B-04_noUDG.SG	Mexico	25.5	-112	2700
563	MX-01_noUDG.SG	Mexico	32.5581444	-116.2033639	2700
767	GoyetQ116-1_noUDG	Belgium	50.446	5.008	35208
768	GoyetQ376-19_noUDG_d	Belgium	50.26	4.28	27505
769	GoyetQ53-1_noUDG	Belgium	50.26	4.28	28051
770	GoyetQ56-16_noUDG	Belgium	50.26	4.28	26300
771	GoyetQ-2_noUDG	Belgium	50.446	5.008	15077
772	GoyetQ-2_udg	Belgium	50.446	5.008	15077
773	I24541	Belize	16.497398	-88.90496	11700
774	I24540	Belize	16.497398	-88.90496	5607
775	I7543	Belize	16.497398	-88.90496	3860
776	I8041	Belize	16.497398	-88.90496	4079
777	I19950	Belize	16.515784	-88.875258	4673
778	I5455	Belize	16.497398	-88.90496	4472
779	I6235	Belize	16.497398	-88.90496	4523
780	I6236	Belize	16.515784	-88.875258	4482
781	I19167	Belize	16.497398	-88.90496	4891
782	I19942	Belize	16.515784	-88.875258	4943
783	I3442	Belize	16.497398	-88.90496	4998
784	I5454	Belize	16.497398	-88.90496	5038
785	I7544	Belize	16.497398	-88.90496	4757
786	I3442_noUDG	Belize	16.497398	-88.90496	4998
787	I19944_d	Belize	16.515784	-88.875258	4868
788	I13267	Belize	16.497398	-88.90496	5483
789	I20428_d	Belize	16.497398	-88.90496	7025
790	I5456	Belize	16.515784	-88.875258	7368
791	I5457	Belize	16.515784	-88.875258	7376
792	I19170	Belize	16.497398	-88.90496	8775
793	I19169	Belize	16.497398	-88.90496	8735
794	I13268	Belize	16.497398	-88.90496	9534
795	I3443	Belize	16.497398	-88.90496	9301
830	IO2	Bolivia	-17.9634243	-67.1522097	985
831	MIS3	Bolivia	-16.492998	-68.1203	1120
832	MIS5	Bolivia	-16.492998	-68.1203	1090
833	I0976	Bolivia	-16.55	-68.66666667	900
834	I0977	Bolivia	-16.55	-68.66666667	990
835	I0978	Bolivia	-16.55	-68.66666667	865
836	I0979	Bolivia	-16.55	-68.66666667	1125
837	MIS7	Bolivia	-16.492998	-68.1203	1100
838	I19561	Bosnia-Herzegovina	45.074167	18.148889	702
839	NQO002	Botswana	-17.94148	24.70934	1055
840	TAU001	Botswana	-24.65509	25.86798	1000
841	XAR001	Botswana	-18.41505	21.88777	1100
842	XAR002	Botswana	-18.41505	21.88777	1100
872	Botocudo17_noUDG.SG	Brazil	-18.850833	-41.948889	281
873	Botocudo15_noUDG.SG	Brazil	-18.850833	-41.948889	309
874	Enoque65_noUDG.SG	Brazil	-8.666667	-42.55	3516
875	I9054_noUDG_d	Brazil	-28.55	-49.00583333	2183
876	I9055_noUDG_d	Brazil	-28.55	-49.00583333	2073
877	I9056_noUDG_d	Brazil	-28.55	-49.00583333	1339
878	I9058_noUDG	Brazil	-28.55	-49.00583333	2524
879	I9057_noUDG_d	Brazil	-28.55	-49.00583333	2436
880	CP26	Brazil	-19.47718333	-44.03805556	9650
881	CP18	Brazil	-19.47718333	-44.03805556	9510
882	CP25	Brazil	-19.47718333	-44.03805556	9601
883	CP23	Brazil	-19.47718333	-44.03805556	9650
884	CP19	Brazil	-19.47718333	-44.03805556	9862
885	CP21	Brazil	-19.47718333	-44.03805556	9247
886	CP22	Brazil	-19.47718333	-44.03805556	9573
887	LAR001	Brazil	-24.28372	-47.48565	6560
888	LAR002	Brazil	-24.28372	-47.48565	6808
889	MOS001	Brazil	-24.24696	-47.42179	5809
890	Sumidouro4_noUDG.SG	Brazil	-19.54	-43.94	10107
891	Sumidouro5_noUDG.SG	Brazil	-19.54	-43.94	10372
892	Sumidouro6_noUDG.SG	Brazil	-19.54	-43.94	10070
893	Sumidouro7_noUDG.SG	Brazil	-19.54	-43.94	10190
894	Sumidouro8_noUDG.SG	Brazil	-19.54	-43.94	9751
895	Bul6	Bulgaria	42.429624	25.898354	4450
896	Bul8	Bulgaria	42.429624	25.898354	4450
897	I0781	Bulgaria	42.232227	24.262688	6404
898	I0785	Bulgaria	42.232227	24.262688	6353
899	I2423	Bulgaria	43.05777778	26.98361111	6381
900	I2424	Bulgaria	43.05777778	26.98361111	6288
901	I2425	Bulgaria	43.05888889	26.76722222	6475
902	I2427	Bulgaria	43.05888889	26.76722222	6326
903	I2428	Bulgaria	43.05777778	26.98361111	6400
904	I2430	Bulgaria	43.05777778	26.98361111	6448
905	I2431	Bulgaria	43.09916667	26.71944444	6624
906	I2509	Bulgaria	43.16089	25.88341	6350
907	I2519	Bulgaria	43.16089	25.88341	6237
908	I2526	Bulgaria	43.139507	25.610236	7293
909	I2426_enhanced	Bulgaria	43.05888889	26.76722222	6302
910	I2181_enhanced	Bulgaria	43.05777778	26.98361111	6458
911	I2181	Bulgaria	43.05777778	26.98361111	6458
912	I2426	Bulgaria	43.05888889	26.76722222	6302
913	I19451	Bulgaria	42.666642	25.373858	4450
914	I19452	Bulgaria	42.666642	25.373858	4450
915	I19453	Bulgaria	42.666642	25.373858	4450
916	I19454	Bulgaria	42.666642	25.373858	4450
917	I19456_d	Bulgaria	42.666642	25.373858	4450
918	I19459	Bulgaria	42.462247	26.025931	4325
919	I19460	Bulgaria	42.462247	26.025931	4325
920	I19462	Bulgaria	42.494242	26.00875	4450
921	I2175	Bulgaria	43.05777778	26.98361111	5097
922	I2180	Bulgaria	43.066667	27.016667	4959
923	I2520	Bulgaria	43.16089	25.88341	5153
924	I2177	Bulgaria	43.05777778	26.98361111	5150
925	I2176_enhanced	Bulgaria	43.05777778	26.98361111	5146
926	Bul10	Bulgaria	42.4296242	25.8983542	4951
927	I12834	Bulgaria	42.433333	25.9	4950
928	I8429	Bulgaria	42.132897	25.496288	4550
929	I20182	Bulgaria	41.73	26.33	4100
930	I2510	Bulgaria	43.16089	25.88341	4794
931	I2165	Bulgaria	42.132897	25.496288	4910
932	I19461	Bulgaria	42.462247	26.025931	4325
933	I19458	Bulgaria	42.462247	26.025931	4337
934	I19457_in.preparation	Bulgaria	42.462247	26.025931	4325
935	I2176	Bulgaria	43.05777778	26.98361111	5146
936	I18793	Bulgaria	42.281	26.63425	4096
937	I18794	Bulgaria	42.281	26.63425	4200
938	I18801_d	Bulgaria	42.514	26.571056	4775
939	Bul4	Bulgaria	42.4296241	25.8983541	4895
940	I15844	Bulgaria	41.78	25.64	2850
941	I19481	Bulgaria	41.53	25.06	2550
942	I19487	Bulgaria	41.77	26.2	2750
943	I19490	Bulgaria	41.73	26.33	2750
944	I19494	Bulgaria	41.73	26.33	2750
945	I19497	Bulgaria	41.73	26.33	2750
946	I20180	Bulgaria	41.73	26.33	2750
947	I20181	Bulgaria	41.73	26.33	2750
948	I20183	Bulgaria	41.73	26.33	2750
949	I20184	Bulgaria	41.73	26.33	2750
950	I20185	Bulgaria	41.73	26.33	2750
951	I20186	Bulgaria	41.73	26.33	2750
952	I15848	Bulgaria	41.78	25.64	2850
953	I19495	Bulgaria	41.73	26.33	2750
954	I19488	Bulgaria	41.77	26.2	2750
955	I5769	Bulgaria	43.16089	25.88341	2592
956	I0679_d	Bulgaria	42.02	25.6	7617
957	I18792	Bulgaria	42.281	26.63425	1550
958	I19500	Bulgaria	42.56	25.41	2200
959	I19480	Bulgaria	42.62	25.41	2325
960	I1113	Bulgaria	43.98	26.4	7550
961	I1295	Bulgaria	43.98	26.4	7550
962	I1296_enhanced	Bulgaria	43.98	26.4	7634
963	I1297	Bulgaria	43.98	26.4	7550
964	I2215_enhanced	Bulgaria	43.98	26.4	7976
965	I1109	Bulgaria	43.98	26.4	7550
966	I2216_enhanced	Bulgaria	43.98	26.4	7839
967	I3879	Bulgaria	43.98	26.4	7550
968	I2216	Bulgaria	43.98	26.4	7839
969	I1108	Bulgaria	43.98	26.4	7550
970	I6354	Bulgaria	43.98	26.4	7550
971	I0700	Bulgaria	43.98	26.4	7550
972	I1296	Bulgaria	43.98	26.4	7634
973	I2215	Bulgaria	43.98	26.4	7976
974	I10548	Bulgaria	43.12	25.68	825
975	I17980	Bulgaria	43.12	25.68	797
976	I2525	Bulgaria	43.139507	25.610236	1014
977	I2163	Bulgaria	42.132897	25.496288	3639
978	I0704_enhanced	Bulgaria	43.16089	25.88341	7892
979	I11134	Bulgaria	43.16089	25.88341	7725
980	I11135	Bulgaria	43.16089	25.88341	7725
981	I11270	Bulgaria	43.16089	25.88341	7725
982	I1298_enhanced	Bulgaria	43.374337	23.729298	7883
983	I2521	Bulgaria	43.16089	25.88341	7503
984	I2529_enhanced	Bulgaria	42.1	25.75	7610
985	I2528	Bulgaria	42.1	25.75	7641
986	I17981	Bulgaria	43.16089	25.88341	7725
987	I0706	Bulgaria	43.16089	25.88341	7899
988	I0698	Bulgaria	42.1	25.75	7900
989	I0704	Bulgaria	43.16089	25.88341	7892
990	I1298	Bulgaria	43.374337	23.729298	7883
991	I2529	Bulgaria	42.1	25.75	7610
992	ANI160	Bulgaria	43.2131	27.8644	6533
993	ANI159-ANI181	Bulgaria	43.2131	27.8644	6566
994	ANI163	Bulgaria	43.2131	27.8644	6569
995	ANI152	Bulgaria	43.2131	27.8644	6462
996	ANI153	Bulgaria	43.2131	27.8644	6434
1038	I10871	Cameroon	5.8586	10.0778	7913
1039	I10872	Cameroon	5.8586	10.0778	7820
1040	I10873	Cameroon	5.8586	10.0778	3097
1041	I10874	Cameroon	5.8586	10.0778	3135
1042	I10871_noUDG	Cameroon	5.8586	10.0778	7913
1043	I10872_noUDG	Cameroon	5.8586	10.0778	7820
1044	I10873_noUDG	Cameroon	5.8586	10.0778	3097
1045	I10874_noUDG	Cameroon	5.8586	10.0778	3135
1046	I10872_d	Cameroon	5.8586	10.0778	7820
1047	I10872_alt	Cameroon	5.8586	10.0778	7820
1048	I10871_noUDG.DG	Cameroon	5.8586	10.0778	7913
1049	I10871_noUDG.SG	Cameroon	5.8586	10.0778	7913
1050	I10873.SG	Cameroon	5.8586	10.0778	3097
1051	XVII-B-939_noUDG.SG	Canada	54.300278	-130.618889	6502
1052	MARC1492_noUDG.SG	Canada	47.989444	-66.7125	676
1053	CK-03_noUDG.SG	Canada	42.216667	-83.066667	667
1054	LU-03_noUDG.SG	Canada	42.216667	-83.066667	625
